Id,PostTypeId,CreationDate,Score,Viewcount,Tags,AnswerCount,FavoriteCount
"62638","1","2019-11-04 08:46:37","0","44","<neural-network><sequence-to-sequence><nlg>","0",""
"62640","1","2019-11-04 10:47:03","1","35","<machine-learning><feature-selection><model-selection>","1",""
"62645","1","2019-11-04 12:03:16","0","59","<cross-validation><overfitting><sampling>","1",""
"62649","1","2019-11-04 12:55:42","3","143","<svm><proximal-svm><least-squares-svm>","2",""
"62651","1","2019-11-04 13:17:35","1","39","<machine-learning><python><neural-network><keras><mathematics>","1",""
"62653","1","2019-11-04 13:58:34","0","163","<python><keras><tensorflow><machine-learning-model><colab>","0",""
"62655","1","2019-11-04 14:12:09","0","40","<machine-learning>","1",""
"45559","1","2019-02-14 08:04:39","-1","28","<python><clustering><unsupervised-learning>","2",""
"45562","1","2019-02-14 09:11:39","1","57","<machine-learning><predictive-modeling><regression><cross-validation><accuracy>","0",""
"45563","1","2019-02-14 09:19:53","1","253","<machine-learning><xgboost>","2",""
"45566","1","2019-02-14 09:49:51","0","35","<gradient-descent>","2",""
"45568","1","2019-02-14 10:17:44","0","30","<python><tensorflow><word-embeddings>","1",""
"45569","1","2019-02-14 10:17:48","1","30","<lstm><multilabel-classification>","0",""
"45570","1","2019-02-14 11:36:39","1","39","<probability><distribution>","0",""
"45575","1","2019-02-14 12:14:02","6","284","<machine-learning><data-leakage>","1",""
"45578","1","2019-02-14 14:33:54","6","2258","<variance><bias>","4","3"
"45580","1","2019-02-14 15:08:51","3","1035","<keras><noise>","1",""
"45582","1","2019-02-14 15:42:36","1","17","<distance>","0",""
"45586","1","2019-02-14 16:21:35","1","9","<machine-learning><data-mining><decision-trees>","0",""
"45588","1","2019-02-14 17:05:51","0","20","<dataset><data><project-planning>","0",""
"45589","1","2019-02-14 17:20:50","1","44","<machine-learning><machine-learning-model>","0",""
"45593","1","2019-02-14 21:14:15","1","39","<machine-learning><word2vec><pytorch>","0",""
"45596","1","2019-02-14 23:42:58","1","15","<transfer-learning>","0",""
"45597","1","2019-02-15 00:27:06","1","106","<time-series><predictive-modeling><prediction><matlab><plotting>","0",""
"45598","1","2019-02-15 00:29:55","1","65","<neural-network><perceptron><mlp>","0",""
"45600","1","2019-02-15 05:01:13","3","504","<time-series><lstm><rnn>","1","4"
"45601","1","2019-02-15 05:39:48","1","24","<cnn><backpropagation>","1",""
"45602","1","2019-02-15 06:23:24","3","114","<python><pandas>","1",""
"45603","1","2019-02-15 06:29:42","2","136","<python><deep-learning>","0","1"
"45605","1","2019-02-15 06:52:37","1","128","<python><nlp><nltk>","1",""
"45607","1","2019-02-15 07:26:50","0","305","<clustering>","2",""
"45611","1","2019-02-15 07:54:42","1","26","<machine-learning><neural-network><pytorch>","1",""
"45614","1","2019-02-15 08:16:30","2","248","<normalization>","1",""
"45615","1","2019-02-15 08:16:57","3","44","<python><scikit-learn><pandas><descriptive-statistics>","1",""
"45620","1","2019-02-15 09:03:25","1","42","<neural-network><lstm>","0",""
"45622","1","2019-02-15 09:48:36","1","36","<python><scikit-learn><random-forest><decision-trees>","0",""
"45624","1","2019-02-15 10:24:17","2","890","<python><r><data-mining>","1",""
"45625","1","2019-02-15 10:40:39","1","40","<dataset>","0",""
"45626","1","2019-02-15 10:52:32","1","62","<lstm><labels>","1",""
"45627","1","2019-02-15 10:55:46","3","77","<machine-learning><python><scikit-learn><regression><pandas>","1",""
"45628","1","2019-02-15 11:04:48","1","331","<machine-learning><python><pandas><k-nn>","0",""
"45629","1","2019-02-15 11:19:08","1","361","<keras><nlp><loss-function>","0",""
"45631","1","2019-02-15 12:27:50","1","10","<tensorflow>","0",""
"45633","1","2019-02-15 13:23:17","0","45","<machine-learning><regression>","2",""
"45639","1","2019-02-15 14:30:18","0","32","<python><deep-learning><numpy>","1",""
"45648","1","2019-02-15 16:04:28","1","84","<jupyter><linux>","0",""
"45650","1","2019-02-15 16:11:23","1","17","<python><neural-network><tensorflow><accuracy>","0",""
"45655","1","2019-02-15 16:47:01","2","176","<pandas><dataframe><ml>","1",""
"45656","1","2019-02-15 16:58:56","2","936","<python><pytorch><jupyter>","1",""
"45657","1","2019-02-15 18:09:57","1","29","<deep-learning><gan><objective-function>","0",""
"45659","1","2019-02-15 18:37:10","1","274","<reinforcement-learning>","1",""
"45660","1","2019-02-15 18:39:44","1","225","<machine-learning><bigdata><bias>","0",""
"45661","1","2019-02-15 20:25:52","2","144","<machine-learning><deep-learning><statistics><generative-models>","1",""
"45663","1","2019-02-15 20:49:28","5","997","<machine-learning><python><scikit-learn><pandas>","1","2"
"45666","1","2019-02-15 22:04:27","1","55","<graphs>","0",""
"45667","1","2019-02-15 22:11:00","1","125","<python><statistics><numpy><distribution><scipy>","0",""
"45668","1","2019-02-15 23:03:42","3","349","<machine-learning><scikit-learn><ridge-regression>","2",""
"45671","1","2019-02-16 03:59:13","2","340","<machine-learning><neural-network>","0",""
"45672","1","2019-02-16 05:36:46","2","452","<time-series><predictive-modeling><random-forest><training><transfer-learning>","1","1"
"45675","1","2019-02-16 07:35:56","2","62","<machine-learning><preprocessing>","2",""
"45678","1","2019-02-16 09:24:19","3","284","<neural-network><deep-learning><convolution><math><image-preprocessing>","1",""
"45679","1","2019-02-16 09:48:06","2","326","<python><jupyter>","1",""
"45680","1","2019-02-16 10:16:08","2","202","<cnn>","1",""
"45681","1","2019-02-16 10:16:55","1","54","<machine-learning><naive-bayes-classifier>","2",""
"45684","1","2019-02-16 12:12:19","3","2372","<machine-learning><python><neural-network><deep-learning><time-series>","1",""
"54245","1","2019-06-21 19:26:27","0","109","<python><xgboost>","0",""
"54252","1","2019-06-21 20:49:06","0","44","<tensorflow>","0",""
"54257","1","2019-06-21 22:02:45","1","34","<nlp><dataset>","2",""
"54258","1","2019-06-21 22:35:56","2","2002","<keras><cnn><activation-function>","1",""
"54259","1","2019-06-21 22:44:19","0","18","<statistics>","1",""
"54260","1","2019-06-21 23:44:48","2","479","<scikit-learn><preprocessing>","3","1"
"54263","1","2019-06-22 00:24:56","0","35","<machine-learning>","1",""
"54266","1","2019-06-22 02:05:39","0","11","<natural-language-process><search><vector-space-models><ngrams>","0",""
"54270","1","2019-06-22 06:03:31","1","40","<time-series>","0",""
"54273","1","2019-06-22 07:49:47","5","118","<python><keras><convnet>","3","1"
"54277","1","2019-06-22 08:23:30","1","209","<machine-learning><reinforcement-learning><q-learning>","2",""
"54278","1","2019-06-22 08:51:28","0","22","<machine-learning><neural-network><classification><dataset><matlab>","0",""
"54279","1","2019-06-22 09:04:54","1","66","<machine-learning><data-mining><machine-learning-model>","0",""
"54280","1","2019-06-22 09:33:57","1","426","<machine-learning><scikit-learn><collinearity>","2",""
"54281","1","2019-06-22 10:32:55","3","101","<machine-learning><svm><regularization><hinge-loss>","2",""
"54288","1","2019-06-22 13:11:58","0","85","<classification><keras><predictive-modeling><lstm><multiclass-classification>","2",""
"54289","1","2019-06-22 13:51:39","4","155","<scikit-learn><linear-regression>","3","1"
"54292","1","2019-06-22 14:12:40","1","320","<neural-network><autoencoder><dimensionality-reduction>","1",""
"54293","1","2019-06-22 15:08:00","1","98","<neural-network><deep-learning><keras><convnet><image-classification>","1",""
"54296","1","2019-06-22 16:48:46","5","916","<normalization>","4","3"
"54306","1","2019-06-22 19:34:13","0","889","<deep-learning><keras><cnn><object-detection><transfer-learning>","0",""
"54307","1","2019-06-22 20:22:13","0","42","<machine-learning><keras><game>","0",""
"54313","1","2019-06-23 01:25:13","0","243","<neural-network><distribution><gaussian><openai-gym><actor-critic>","1",""
"54315","1","2019-06-23 02:44:03","0","137","<pytorch><image-preprocessing>","0",""
"54316","1","2019-06-23 03:44:17","0","13","<machine-learning><object-detection>","0",""
"54317","1","2019-06-23 04:27:11","0","72","<tensorflow><pytorch><bert>","0",""
"54318","1","2019-06-23 04:58:54","0","9","<preprocessing><pca>","0",""
"54320","1","2019-06-23 06:19:42","0","43","<python><keras><convnet>","1",""
"54321","1","2019-06-23 07:53:39","0","19","<text-mining><probability>","0",""
"54322","1","2019-06-23 09:16:28","0","40","<machine-learning><deep-learning><rnn><gradient-descent><recurrent-neural-net>","0",""
"54327","1","2019-06-23 10:28:49","0","63","<deep-learning><training><recurrent-neural-net>","3",""
"54330","1","2019-06-23 11:20:34","0","108","<classification><autoencoder><encoding>","1","1"
"54332","1","2019-06-23 11:43:33","1","158","<nltk><cosine-distance>","1",""
"54333","1","2019-06-23 12:09:50","1","58","<one-shot-learning>","1",""
"54337","1","2019-06-23 15:55:00","2","24","<machine-learning><svm>","1",""
"54341","1","2019-06-23 17:30:18","0","127","<clustering><data-cleaning>","2","1"
"54343","1","2019-06-23 18:12:53","0","28","<r><data-cleaning>","1",""
"54346","1","2019-06-23 19:56:45","2","233","<machine-learning><probability>","1","1"
"54347","1","2019-06-23 20:25:34","0","26","<machine-learning><svm>","0",""
"54350","1","2019-06-23 22:40:50","0","84","<r><clustering><matrix>","0",""
"54351","1","2019-06-23 23:30:22","0","34","<machine-learning><python><time-series><prediction>","1",""
"54352","1","2019-06-23 23:38:37","0","67","<predictive-modeling>","3","1"
"54353","1","2019-06-24 00:09:51","0","14","<cnn><plotting><matplotlib>","0",""
"54359","1","2019-06-24 01:50:48","0","71","<deep-learning><lstm><finance>","0",""
"54363","1","2019-06-24 04:33:38","0","29","<representation>","1",""
"54364","1","2019-06-24 06:09:15","0","35","<machine-learning><python><neural-network><backpropagation>","1",""
"54366","1","2019-06-24 06:38:54","0","21","<nlp><word-embeddings>","0",""
"54367","1","2019-06-24 07:31:58","0","21","<machine-learning><python><deep-learning><nlp><autoencoder>","0",""
"54369","1","2019-06-24 08:31:54","2","92","<machine-learning><deep-learning><supervised-learning><gan>","1",""
"54370","1","2019-06-24 08:41:17","1","42","<text-mining><natural-language-process><sentiment-analysis>","1",""
"54374","1","2019-06-24 09:33:19","1","1353","<python><time-series><excel>","1",""
"54375","1","2019-06-24 09:38:16","0","12","<machine-learning><convergence><weight-initialization>","0",""
"54377","1","2019-06-24 09:53:27","1","122","<machine-learning><python><data-mining><numpy><normalization>","1","2"
"54379","1","2019-06-24 10:02:17","0","69","<deep-learning><keras><loss-function><metric>","1",""
"65997","1","2020-01-07 03:04:45","2","39","<machine-learning><regression>","1","1"
"65999","1","2020-01-07 04:38:37","2","28","<python><predictive-modeling><linear-regression>","0",""
"66002","1","2020-01-07 06:34:00","2","51","<machine-learning>","1",""
"66003","1","2020-01-07 06:53:10","2","47","<machine-learning><deep-learning><statistics><cross-validation><machine-learning-model>","1","1"
"66004","1","2020-01-07 06:54:06","1","37","<deep-learning>","1","0"
"66005","1","2020-01-07 06:56:11","1","28","<random-forest><prediction>","1",""
"66006","1","2020-01-07 07:09:33","1","14","<neural-network><algorithms><word-embeddings><embeddings>","0",""
"66009","1","2020-01-07 07:29:00","2","57","<deep-learning><nlp><pytorch><bert>","1",""
"66011","1","2020-01-07 07:47:48","1","55","<python><one-hot-encoding>","2",""
"66013","1","2020-01-07 08:37:54","1","29","<machine-learning><deep-learning><statistics><logistic-regression><machine-learning-model>","1",""
"66015","1","2020-01-07 09:07:19","1","164","<machine-learning>","5","3"
"66016","1","2020-01-07 09:12:18","1","45","<neural-network><cnn><training><autoencoder>","2",""
"66017","1","2020-01-07 09:34:19","1","47","<pandas><data-cleaning><dataframe>","0",""
"66022","1","2020-01-07 10:04:19","2","37","<classification><transfer-learning>","1",""
"66024","1","2020-01-07 10:38:25","1","39","<activation-function>","1",""
"66025","1","2020-01-07 10:52:27","1","14","<image-classification><tools><image-segmentation>","0",""
"66027","1","2020-01-07 11:20:37","0","32","<python><classification><class-imbalance>","1",""
"66028","1","2020-01-07 11:22:01","4","112","<machine-learning><regression><feature-selection><gradient-descent>","4","2"
"66031","1","2020-01-07 12:15:30","3","93","<deep-learning><tensorflow><lstm><rnn><gru>","1",""
"66032","1","2020-01-07 12:36:17","1","16","<powerbi>","0",""
"66033","1","2020-01-07 12:38:31","2","64","<machine-learning><r><feature-selection>","2",""
"66034","1","2020-01-07 12:43:11","3","173","<python><scikit-learn><pandas><preprocessing>","1",""
"66040","1","2020-01-07 15:02:33","5","66","<python><predictive-modeling><data-product>","2","1"
"66044","1","2020-01-07 17:12:07","2","22","<natural-language-process><reference-request>","0",""
"66045","1","2020-01-07 17:13:19","0","28","<time-series><predictive-modeling>","1",""
"66051","1","2020-01-07 18:33:26","1","21","<machine-learning><data-science-model><metric><math>","0",""
"66055","1","2020-01-07 20:06:04","0","9","<jupyter><pip>","0",""
"66057","1","2020-01-07 21:19:48","1","74","<keras><tensorflow>","1","1"
"66058","1","2020-01-07 21:27:28","1","30","<statistics><data-analysis><descriptive-statistics>","0",""
"66059","1","2020-01-07 22:25:33","1","122","<pandas><data-cleaning><python-3.x><data-engineering>","1",""
"66060","1","2020-01-07 23:08:43","1","89","<feature-selection><linear-regression>","3",""
"66061","1","2020-01-07 23:46:20","0","24","<tensorflow>","2",""
"66062","1","2020-01-08 00:13:25","0","224","<machine-learning><scikit-learn><statistics><decision-trees>","1",""
"66064","1","2020-01-08 00:23:27","1","42","<pytorch><object-detection>","0",""
"66066","1","2020-01-08 00:56:16","0","6","<machine-learning><logistic-regression>","0",""
"66067","1","2020-01-08 01:16:04","2","64","<scikit-learn><nlp><text-mining><tfidf>","3",""
"66070","1","2020-01-08 02:33:28","2","21","<classification><sampling><gaussian-process>","1",""
"66071","1","2020-01-08 02:47:43","1","39","<clustering><machine-learning-model>","1",""
"66073","1","2020-01-08 03:43:52","2","71","<recommender-system><ranking>","2",""
"66075","1","2020-01-08 03:59:59","2","72","<machine-learning><python><dimensionality-reduction>","3",""
"66077","1","2020-01-08 04:45:57","1","24","<random-forest><cross-validation><multilabel-classification><accuracy><matplotlib>","1",""
"66079","1","2020-01-08 05:01:46","1","40","<python>","2",""
"66083","1","2020-01-08 07:33:43","3","76","<optimization><genetic-algorithms><metaheuristics>","0","2"
"66085","1","2020-01-08 08:23:16","1","21","<sql><excel>","1",""
"66086","1","2020-01-08 08:42:02","2","49","<machine-learning><python><data-cleaning>","4","1"
"66091","1","2020-01-08 09:05:51","1","43","<r><correlation><distribution><glm><multivariate-distribution>","0",""
"66094","1","2020-01-08 09:32:51","4","168","<machine-learning><decision-trees><xgboost><sampling>","1","1"
"66100","1","2020-01-08 10:48:22","0","33","<machine-learning><python><neural-network><keras><word-embeddings>","0",""
"66101","1","2020-01-08 11:07:44","0","133","<machine-learning><python>","1",""
"66104","1","2020-01-08 11:32:35","0","7","<feature-selection><correlation>","0",""
"66107","1","2020-01-08 12:09:04","2","20","<unsupervised-learning><supervised-learning><labels><variance>","1",""
"66108","1","2020-01-08 12:12:02","3","24","<neural-network><deep-learning><keras><pytorch><activation-function>","1",""
"62657","1","2019-11-04 15:00:09","1","16","<python><classification><nlp><word2vec>","1",""
"62658","1","2019-11-04 15:22:32","8","3170","<tensorflow><nlp><pytorch><bert>","4","5"
"62660","1","2019-11-04 15:44:58","0","16","<deep-learning><yolo>","0",""
"57850","1","2019-08-20 08:31:20","0","35","<matlab><explainable-ai>","0",""
"57851","1","2019-08-20 08:36:15","0","20","<dataset><data-cleaning><training>","1",""
"57852","1","2019-08-20 08:43:49","2","46","<classification><cnn><lstm>","0","1"
"57853","1","2019-08-20 08:50:35","0","649","<python><matplotlib>","1",""
"57857","1","2019-08-20 09:24:47","0","36","<data-cleaning>","1",""
"57861","1","2019-08-20 09:55:10","2","146","<nlp>","3",""
"57863","1","2019-08-20 10:44:09","0","284","<scikit-learn><svm>","1","1"
"57866","1","2019-08-20 11:17:40","2","59","<classification><scikit-learn><boosting>","1",""
"57875","1","2019-08-20 12:29:20","1","27","<machine-learning><topic-model><lda><gensim>","1","2"
"57876","1","2019-08-20 12:32:45","0","87","<python><pandas><matlab><matplotlib>","1",""
"57878","1","2019-08-20 13:18:53","2","179","<machine-learning><python><tensorflow>","1",""
"57879","1","2019-08-20 13:37:53","0","18","<pandas><apache-hadoop><pyspark><sql>","0",""
"57882","1","2019-08-20 14:03:49","2","193","<training><class-imbalance>","2",""
"57883","1","2019-08-20 14:11:34","2","30","<keras><tensorflow><accuracy><epochs>","1",""
"57889","1","2019-08-20 15:18:15","0","11","<machine-learning><image-classification><gan><image-preprocessing>","0",""
"57890","1","2019-08-20 15:24:24","1","27","<nlp><text-mining><tfidf>","1",""
"57895","1","2019-08-20 16:14:56","0","12","<machine-learning><machine-learning-model><unsupervised-learning><supervised-learning><semi-supervised-learning>","0",""
"57898","1","2019-08-20 16:35:31","0","16","<machine-learning><logistic-regression><data-analysis>","0",""
"57899","1","2019-08-20 16:58:01","0","12","<machine-learning><recommender-system><matrix-factorisation>","0",""
"57900","1","2019-08-20 17:52:26","1","60","<machine-learning><bigdata><sequential-pattern-mining>","0",""
"57902","1","2019-08-20 18:27:44","1","182","<classification><cross-validation><class-imbalance>","1",""
"57905","1","2019-08-20 20:05:07","4","1057","<classification><decision-trees><xgboost><boosting>","1","2"
"57906","1","2019-08-20 20:07:18","1","125","<keras><time-series><lstm><rnn>","1",""
"57909","1","2019-08-20 21:48:32","0","24","<python><tensorflow><reinforcement-learning>","0",""
"57910","1","2019-08-20 22:02:42","2","42","<data-mining><sentiment-analysis><social-network-analysis>","1",""
"57911","1","2019-08-20 22:05:02","0","400","<time-series><clustering>","1","1"
"57912","1","2019-08-20 22:19:30","1","43","<time-series><statistics><similarity><correlation><simulation>","2",""
"57916","1","2019-08-21 03:35:07","3","58","<statistics>","0",""
"57917","1","2019-08-21 03:54:53","1","49","<multiclass-classification><unbalanced-classes>","1","1"
"57918","1","2019-08-21 04:27:17","0","19","<data-mining><bigdata><sampling><data-analysis><aggregation>","0",""
"57919","1","2019-08-21 04:33:48","0","15","<neural-network>","0",""
"57920","1","2019-08-21 05:42:16","0","23","<machine-learning><svm>","0",""
"57921","1","2019-08-21 06:27:03","0","15","<machine-learning><svm>","0",""
"57922","1","2019-08-21 06:30:25","1","55","<python><scikit-learn><hyperparameter-tuning><grid-search><gridsearchcv>","1",""
"57923","1","2019-08-21 06:37:11","0","13","<deep-learning><predictive-modeling><image-classification>","1",""
"57924","1","2019-08-21 06:45:04","2","244","<predictive-modeling><pandas><class-imbalance><pipelines><imbalanced-learn>","1",""
"57927","1","2019-08-21 06:56:51","0","31","<machine-learning><decision-trees>","1",""
"57928","1","2019-08-21 07:21:07","0","25","<machine-learning><deep-learning><word2vec><word-embeddings><natural-language-process>","1",""
"57929","1","2019-08-21 07:23:03","0","27","<machine-learning><decision-trees>","1",""
"57931","1","2019-08-21 07:37:11","1","51","<machine-learning><python><pytorch><object-detection><faster-rcnn>","0","0"
"57934","1","2019-08-21 08:09:57","1","100","<python>","1",""
"57940","1","2019-08-21 08:53:48","0","22","<neural-network><deep-learning><lstm><recurrent-neural-net>","0",""
"57941","1","2019-08-21 09:19:58","0","22","<r>","0",""
"57945","1","2019-08-21 09:49:14","0","123","<scikit-learn><grid-search><gridsearchcv>","1",""
"57947","1","2019-08-21 10:15:52","0","107","<machine-learning><deep-learning><nlp><cnn><rnn>","1","2"
"57948","1","2019-08-21 10:40:45","0","50","<python><markov-process><markov-hidden-model><expectation-maximization>","0",""
"57949","1","2019-08-21 10:51:21","0","10","<neural-network><deep-learning><keras><audio-recognition>","0",""
"57952","1","2019-08-21 11:28:02","2","192","<deep-learning><convnet><visualization><pytorch>","1",""
"57961","1","2019-08-21 13:28:43","1","15","<keras><nlp><image-recognition><object-detection><text>","0",""
"57963","1","2019-08-21 14:05:46","0","1128","<python><computer-vision><pytorch><image>","1",""
"57966","1","2019-08-21 14:43:52","0","4","<object-detection>","0",""
"57971","1","2019-08-21 15:29:05","0","35","<machine-learning>","2",""
"57974","1","2019-08-21 16:15:24","1","350","<machine-learning><algorithms><optimization>","1",""
"57976","1","2019-08-21 16:51:40","3","38","<python><regression>","1",""
"57977","1","2019-08-21 17:40:22","3","93","<python><topic-model><lda><gensim>","0","1"
"57978","1","2019-08-21 17:59:44","0","33","<orange><orange3>","0",""
"57979","1","2019-08-21 18:21:07","0","95","<machine-learning><coursera>","0",""
"57982","1","2019-08-21 19:07:33","1","16","<deep-learning>","0",""
"57984","1","2019-08-21 20:42:17","0","78","<neural-network><tensorflow><multilabel-classification>","1",""
"57987","1","2019-08-22 02:38:27","1","65","<neural-network><batch-normalization>","0",""
"57988","1","2019-08-22 03:09:14","0","32","<deep-learning><nlp><chatbot>","1",""
"57990","1","2019-08-22 06:07:05","0","47","<machine-learning><svm>","2",""
"57991","1","2019-08-22 06:10:48","0","25","<feature-selection><feature-extraction><pca><dimensionality-reduction>","0","1"
"57994","1","2019-08-22 06:57:33","0","41","<neural-network><deep-learning><anomaly-detection>","1",""
"57996","1","2019-08-22 07:44:12","0","38","<neural-network><keras>","1",""
"58000","1","2019-08-22 08:29:09","1","510","<scikit-learn><svm><supervised-learning><model-selection>","1","1"
"58002","1","2019-08-22 09:03:15","3","74","<xgboost>","1",""
"58003","1","2019-08-22 09:03:18","1","40","<tensorflow><word2vec><word-embeddings>","1",""
"58006","1","2019-08-22 09:41:00","1","151","<statistics><distribution><scipy>","2","3"
"58008","1","2019-08-22 10:00:40","0","115","<scikit-learn><pandas><evaluation><class-imbalance><metric>","1",""
"58009","1","2019-08-22 10:02:08","0","270","<arima>","1",""
"58014","1","2019-08-22 11:44:39","0","21","<time-series>","0",""
"58020","1","2019-08-22 14:16:17","3","86","<machine-learning>","4","1"
"58021","1","2019-08-22 14:18:53","1","34","<naive-bayes-classifier><metric><smote><imbalanced-learn>","0",""
"58022","1","2019-08-22 14:32:28","0","27","<neural-network><deep-learning><cnn><image-classification>","0",""
"58026","1","2019-08-22 14:55:57","3","121","<machine-learning><neural-network><backpropagation>","4","1"
"58027","1","2019-08-22 15:01:57","0","33","<time-series><pandas><statistics>","1",""
"58029","1","2019-08-22 15:09:59","0","74","<neural-network><keras><r>","0",""
"58030","1","2019-08-22 15:20:56","0","180","<machine-learning><neural-network><logistic-regression>","2","1"
"58033","1","2019-08-22 16:56:24","0","14","<python><deep-learning><keras><tensorflow>","0",""
"58035","1","2019-08-22 17:10:33","2","249","<classification><xgboost><accuracy><unbalanced-classes><encoding>","0","0"
"58037","1","2019-08-22 17:43:16","0","84","<deep-learning><object-detection><yolo>","0",""
"58038","1","2019-08-22 18:19:43","0","24","<python><deep-learning><keras>","0",""
"58040","1","2019-08-22 19:37:41","0","28","<python><keras><time-series><lstm><multiclass-classification>","1",""
"58043","1","2019-08-22 20:18:54","0","36","<deep-learning><classification><nlp>","1",""
"58046","1","2019-08-22 21:29:07","1","375","<machine-learning><python><deep-learning><named-entity-recognition>","1",""
"58047","1","2019-08-22 21:41:17","0","16","<apache-spark><ml>","0",""
"58050","1","2019-08-22 22:55:34","1","36","<keras><r>","0",""
"58051","1","2019-08-22 23:00:22","0","34","<time-series><clustering>","0",""
"58054","1","2019-08-23 04:53:29","0","61","<machine-learning><deep-learning><bigdata><data-science-model>","1",""
"58055","1","2019-08-23 05:07:39","0","6","<machine-learning><python><regression><linear-regression>","0",""
"58056","1","2019-08-23 05:28:19","0","16","<neural-network><tensorflow><anaconda><rdkit>","0",""
"58057","1","2019-08-23 06:25:14","1","45","<machine-learning><time-series><regression><metric>","0","1"
"58061","1","2019-08-23 07:11:48","1","56","<machine-learning><python>","1",""
"58062","1","2019-08-23 07:35:49","0","14","<time-series>","0",""
"58063","1","2019-08-23 08:00:20","0","40","<tensorflow>","0",""
"58065","1","2019-08-23 08:41:53","2","45","<machine-learning><time-series><automatic-summarization>","0",""
"58066","1","2019-08-23 08:59:40","0","40","<machine-learning><time-series>","1",""
"58067","1","2019-08-23 09:11:29","0","290","<machine-learning-model><object-detection><object-recognition><parameter>","1",""
"58068","1","2019-08-23 09:26:02","0","25","<python><object-recognition><opencv>","0",""
"58070","1","2019-08-23 10:21:17","1","54","<time-series><recurrent-neural-net>","1",""
